Variable Name,ResponseType
AGQ030,1
BPD035,2
BPQ020,1
BPQ030,1
BPQ040A,1
BPQ050A,1
BPQ080,1
BPQ090D,1
BPQ100D,1
CSQ220,1
CSQ240,1
CSQ241,1
CSQ250,1
CSQ260,1
DID040,1
DID060,3
DID260,4
DID341,5
DIQ010,6
DIQ050,1
DIQ080,1
DLQ010,1
DLQ020,1
DLQ040,1
DLQ080,1
HEQ010,1
HEQ030,1
MCD093,7
MCQ010,1
MCQ025,8
MCQ035,1
MCQ040,1
MCQ050,1
MCQ053,1
MCQ070,1
MCQ075,9
MCQ080,1
MCQ080E,1
MCQ082,1
MCQ084,1
MCQ092,1
MCQ160a,1
MCQ160b,1
MCQ160c,1
MCQ160d,1
MCQ160e,1
MCQ160f,1
MCQ160g,1
MCQ160k,1
MCQ160l,1
MCQ160m,1
MCQ160n,1
MCQ160o,1
MCQ170k,1
MCQ170l,1
MCQ170m,1
MCQ180a,8
MCQ180b,8
MCQ180c,8
MCQ180d,8
MCQ180e,8
MCQ180f,8
MCQ180g,8
MCQ180k,8
MCQ180l,8
MCQ180m,8
MCQ180n,8
MCQ195,10
MCQ203,1
MCQ206,4
MCQ220,1
MCQ230a,15
MCQ230b,15
MCQ230c,15
MCQ230d,15
MCQ240a,8
MCQ240aa,8
MCQ240b,8
MCQ240bb,8
MCQ240c,8
MCQ240cc,8
MCQ240d,8
MCQ240dd,8
MCQ240dk,4
MCQ240e,8
MCQ240f,8
MCQ240g,8
MCQ240h,8
MCQ240i,8
MCQ240j,8
MCQ240k,8
MCQ240l,8
MCQ240m,8
MCQ240n,8
MCQ240o,8
MCQ240p,8
MCQ240q,8
MCQ240r,8
MCQ240s,8
MCQ240t,8
MCQ240u,8
MCQ240v,8
MCQ240w,8
MCQ240x,8
MCQ240y,8
MCQ240z,8
MCQ380,11
MGD050,1
MGQ080,1
MGQ110,1
OHAREC,12
OHAROCCI,13
OHAROCDE,13
OHAROCDT,13
OHAROCGP,13
OHAROCOH,13
OHAROTH,13
OSD030aa,8
OSD030ab,8
OSD030ac,8
OSD030ba,8
OSD030bb,8
OSD030bc,8
OSD030bd,8
OSD030be,8
OSD030bf,8
OSD030bg,8
OSQ010a,1
OSQ010b,1
OSQ010c,1
OSQ060,1
OSQ072,1
OSQ080,1
OSQ120a,1
OSQ120b,1
OSQ120c,1
OSQ120d,1
OSQ120e,1
OSQ120f,1
OSQ120g,1
OSQ120h,1
PFQ051,1
PFQ054,1
PFQ057,1
PFQ059,1
PFQ061A,14
PFQ061B,14
PFQ061C,14
PFQ061D,14
PFQ061E,14
PFQ061F,14
PFQ061G,14
PFQ061H,14
PFQ061I,14
PFQ061J,14
PFQ061K,14
PFQ061L,14
PFQ061M,14
PFQ061N,14
PFQ061O,14
PFQ061P,14
PFQ061Q,14
PFQ061R,14
PFQ061S,14
PFQ061T,14
SXQ260,1
SXQ265,1
SXQ270,1
SXQ272,1
SXQ753,1
